2-theta(deg)	d(ang.)	Фаза	HKL	Phase name
27	3.3483			Cohenite, syn(0,2,0)
38	2.3905			Tungsten Carbide(0,0,2),Cohenite, syn(2,1,0)
41	2.2193			Cohenite, syn(0,0,2)
43	2.1233			Cohenite, syn(2,1,1)
44	2.0414			Cohenite, syn(1,0,2)
49	1.8491			Qusongite, syn(1,0,1),Cohenite, syn(1,3,1)
56	1.6366			Cohenite, syn(2,1,2)
67	1.3943			Qusongite, syn(0,0,2),Cohenite, syn(2,4,0)
75	1.2598			Tungsten Carbide(1,1,2),Cohenite, syn(2,1,3)
82	1.1755			Qusongite, syn(2,0,1),Tungsten Carbide(0,0,4),Cohenite, syn(4,2,0)
87	1.1144			Cohenite, syn(1,5,2)
